chr,start,end,x,y,z
chr21,2.00E+07,20005000,-0.088044935,-0.048745576,-0.043396927
chr21,20005000,20010000,-0.094939039,-0.07115946,-0.045120064
chr21,20010000,20015000,-0.099839132,-0.069550301,-0.048277373
chr21,20015000,20020000,-0.09714197,-0.073822266,-0.046299597
chr21,20020000,20025000,-0.099229511,-0.075136939,-0.046401349
chr21,20025000,20030000,-0.094650484,-0.072131701,-0.041410118
chr21,20030000,20035000,-0.095153861,-0.071344496,-0.039770146
chr21,20035000,20040000,-0.095336269,-0.064486444,-0.040239746
chr21,20040000,20045000,-0.095338087,-0.063533544,-0.038715486
chr21,20045000,20050000,-0.094903319,-0.057741183,-0.036759821
chr21,20050000,20055000,-0.095980934,-0.063488214,-0.036516413
chr21,20055000,20060000,-0.100810326,-0.070329092,-0.039434079
chr21,20060000,20065000,-0.105224018,-0.07249788,-0.044306506
chr21,20065000,20070000,-0.110615198,-0.07256663,-0.046796351
chr21,20070000,20075000,-0.112379245,-0.069836315,-0.050921893
chr21,20075000,20080000,-0.114955136,-0.077852921,-0.048754476
chr21,20080000,20085000,-0.113596694,-0.079179874,-0.048566985
chr21,20085000,20090000,-0.112910438,-0.084592717,-0.044403681
chr21,20090000,20095000,-0.10928699,-0.082226338,-0.043932775
chr21,20095000,20100000,-0.107661425,-0.082067148,-0.044320863
chr21,20100000,20105000,-0.103587859,-0.077213043,-0.04195825
chr21,20105000,20110000,-0.103974919,-0.076467798,-0.043550991
chr21,20110000,20115000,-0.099200981,-0.075777763,-0.038520866
chr21,20115000,20120000,-0.09841842,-0.07119681,-0.040463452
chr21,20120000,20125000,-0.094370573,-0.068848768,-0.036791335
chr21,20125000,20130000,-0.094405753,-0.063050689,-0.032117652
chr21,20130000,20135000,-0.093267693,-0.06082186,-0.026460662
chr21,20135000,20140000,-0.094134693,-0.059982449,-0.019690949
chr21,20140000,20145000,-0.093488641,-0.063935805,-0.017983498
chr21,20145000,20150000,-0.094619541,-0.06607064,-0.016160095
chr21,20150000,20155000,-0.096383704,-0.069421755,-0.017038847
chr21,20155000,20160000,-0.097853786,-0.071606387,-0.016573197
chr21,20160000,20165000,-0.098348244,-0.075127492,-0.015569046
chr21,20165000,20170000,-0.099914429,-0.069971712,-0.011370092
chr21,20170000,20175000,-0.101367006,-0.068965852,-0.008081878
chr21,20175000,20180000,-0.106112267,-0.067474611,-0.002924159
chr21,20180000,20185000,-0.106550069,-0.066931128,-0.002846285
chr21,20185000,20190000,-0.111785476,-0.060633523,-0.001467653
chr21,20190000,20195000,-0.113888497,-0.061214859,-0.001676222
chr21,20195000,20200000,-0.116997946,-0.059827263,-0.001172818
chr21,20200000,20205000,-0.118064777,-0.06830508,-0.003784775
chr21,20205000,20210000,-0.120895981,-0.073601968,-0.009365934
chr21,20210000,20215000,-0.121219759,-0.082024036,-0.010824378
chr21,20215000,20220000,-0.120884427,-0.081815522,-0.00867897
chr21,20220000,20225000,-0.120682098,-0.074499412,-0.004853229
chr21,20225000,20230000,-0.124451992,-0.072842361,-0.002808593
chr21,20230000,20235000,-0.126690706,-0.066610313,-0.003415383
chr21,20235000,20240000,-0.124461805,-0.069159976,-0.009549997
chr21,20240000,20245000,-0.120282459,-0.063463912,-0.011159459
chr21,20245000,20250000,-0.119932974,-0.066852812,-0.011299754
chr21,20250000,20255000,-0.124844102,-0.06666399,-0.004108604
chr21,20255000,20260000,-0.130893735,-0.073006293,-0.005675707
chr21,20260000,20265000,-0.135447208,-0.073354104,-0.005487688
chr21,20265000,20270000,-0.138759613,-0.070853917,-0.008751249
chr21,20270000,20275000,-0.139839998,-0.069011049,-0.005863926
chr21,20275000,20280000,-0.140778992,-0.069363754,-0.005792841
chr21,20280000,20285000,-0.13939334,-0.07003082,-0.001133941
chr21,20285000,20290000,-0.14128334,-0.069839687,-0.001702131
chr21,20290000,20295000,-0.13996784,-0.069388728,-0.000385768
chr21,20295000,20300000,-0.138482894,-0.069739257,-0.001330513
chr21,20300000,20305000,-0.138042763,-0.069949386,-0.00222382
chr21,20305000,20310000,-0.136173522,-0.0662731,-0.002983857
chr21,20310000,20315000,-0.138582364,-0.069623522,-0.004677483
chr21,20315000,20320000,-0.131904912,-0.067800899,-0.007486499
chr21,20320000,20325000,-0.133853298,-0.072721727,-0.008937961
chr21,20325000,20330000,-0.133851466,-0.071238756,-0.010915965
chr21,20330000,20335000,-0.137345693,-0.068982851,-0.007764617
chr21,20335000,20340000,-0.13950333,-0.068238556,-0.009212078
chr21,20340000,20345000,-0.135078806,-0.070965062,-0.01104435
chr21,20345000,20350000,-0.136438138,-0.077876468,-0.014265661
chr21,20350000,20355000,-0.135103209,-0.080222013,-0.017754799
chr21,20355000,20360000,-0.137187713,-0.083070392,-0.019049138
chr21,20360000,20365000,-0.137528986,-0.081970628,-0.025143135
chr21,20365000,20370000,-0.139328526,-0.081667976,-0.026141691
chr21,20370000,20375000,-0.139490451,-0.08036503,-0.031600364
chr21,20375000,20380000,-0.134483585,-0.078796882,-0.033834246
chr21,20380000,20385000,-0.127900557,-0.079158784,-0.037600651
chr21,20385000,20390000,-0.130482923,-0.074839893,-0.033621604
chr21,20390000,20395000,-0.137221639,-0.076900486,-0.030285007
chr21,20395000,20400000,-0.143446586,-0.07394324,-0.023592192
chr21,20400000,20405000,-0.147094159,-0.076220216,-0.024643878
chr21,20405000,20410000,-0.149273904,-0.075484297,-0.026773227
chr21,20410000,20415000,-0.149765976,-0.076976126,-0.036828349
chr21,20415000,20420000,-0.14659423,-0.07685843,-0.043940286
chr21,20420000,20425000,-0.142544328,-0.071341565,-0.050161582
chr21,20425000,20430000,-0.140878003,-0.071393938,-0.050780691
chr21,20430000,20435000,-0.140492334,-0.067349925,-0.051764089
chr21,20435000,20440000,-0.138829602,-0.067259307,-0.046351594
chr21,20440000,20445000,-0.139233311,-0.064210719,-0.047273723
chr21,20445000,20450000,-0.13512451,-0.067576308,-0.046570148
chr21,20450000,20455000,-0.138160596,-0.069716545,-0.052571723
chr21,20455000,20460000,-0.134232973,-0.069296083,-0.054521312
chr21,20460000,20465000,-0.136614795,-0.067955521,-0.057491801
chr21,20465000,20470000,-0.138082611,-0.064708355,-0.053389411
chr21,20470000,20475000,-0.140879453,-0.063015233,-0.053436278
chr21,20475000,20480000,-0.14074309,-0.061901446,-0.052025443
chr21,20480000,20485000,-0.139588311,-0.063100995,-0.056225186
chr21,20485000,20490000,-0.141956877,-0.061002304,-0.052466624
chr21,20490000,20495000,-0.145052683,-0.06151208,-0.045925489
chr21,20495000,20500000,-0.148346033,-0.059319689,-0.042924124
chr21,20500000,20505000,-0.144197769,-0.059151364,-0.045046105
chr21,20505000,20510000,-0.145248574,-0.056400252,-0.04927687
chr21,20510000,20515000,-0.137792941,-0.058526551,-0.048051231
chr21,20515000,20520000,-0.14298131,-0.059883271,-0.043445483
chr21,20520000,20525000,-0.142473681,-0.056932719,-0.043313393
chr21,20525000,20530000,-0.14967529,-0.053159651,-0.045617616
chr21,20530000,20535000,-0.14472704,-0.04829507,-0.049933736
chr21,20535000,20540000,-0.141648796,-0.048773807,-0.053851558
chr21,20540000,20545000,-0.139898858,-0.046797616,-0.053234906
chr21,20545000,20550000,-0.142018934,-0.04746218,-0.055390216
chr21,20550000,20555000,-0.143295229,-0.044539848,-0.054491734
chr21,20555000,20560000,-0.141282938,-0.046434247,-0.057747656
chr21,20560000,20565000,-0.143957261,-0.047255275,-0.052995261
chr21,20565000,20570000,-0.145880187,-0.047853552,-0.051988199
chr21,20570000,20575000,-0.149815749,-0.04689554,-0.049994482
chr21,20575000,20580000,-0.149564928,-0.042420429,-0.051991024
chr21,20580000,20585000,-0.151963321,-0.040594085,-0.048345252
chr21,20585000,20590000,-0.148386849,-0.034707882,-0.046233769
chr21,20590000,20595000,-0.144869652,-0.038755745,-0.042008855
chr21,20595000,20600000,-0.141984744,-0.03713108,-0.041018825
chr21,20600000,20605000,-0.146077528,-0.039516899,-0.037325595
chr21,20605000,20610000,-0.151636079,-0.034490893,-0.0370408
chr21,20610000,20615000,-0.154391555,-0.035228596,-0.036598618
chr21,20615000,20620000,-0.154948416,-0.033679635,-0.037697483
chr21,20620000,20625000,-0.153820362,-0.036951178,-0.033504474
chr21,20625000,20630000,-0.152384977,-0.034564127,-0.029028463
chr21,20630000,20635000,-0.152198184,-0.034500879,-0.025719109
chr21,20635000,20640000,-0.15210554,-0.02968681,-0.029603873
chr21,20640000,20645000,-0.152891842,-0.030846324,-0.029093976
chr21,20645000,20650000,-0.153133739,-0.030871474,-0.031651856
chr21,20650000,20655000,-0.154408934,-0.035361608,-0.027756376
chr21,20655000,20660000,-0.152371694,-0.036484543,-0.033120036
chr21,20660000,20665000,-0.148126957,-0.035024892,-0.033722816
chr21,20665000,20670000,-0.145815026,-0.032946805,-0.037639923
chr21,20670000,20675000,-0.1438382,-0.029589047,-0.031080522
chr21,20675000,20680000,-0.140567374,-0.036173684,-0.024591732
chr21,20680000,20685000,-0.135358041,-0.034460367,-0.017481031
chr21,20685000,20690000,-0.131585121,-0.03445056,-0.017617609
chr21,20690000,20695000,-0.130296334,-0.029006834,-0.014126425
chr21,20695000,20700000,-0.132479104,-0.031950003,-0.011891772
chr21,20700000,20705000,-0.130663264,-0.036235986,-0.00602753
chr21,20705000,20710000,-0.13280843,-0.042199824,-0.005139277
chr21,20710000,20715000,-0.128819451,-0.042554255,-0.002732293
chr21,20715000,20720000,-0.129614344,-0.039089948,-0.003535732
chr21,20720000,20725000,-0.128214754,-0.034298994,-0.001883573
chr21,20725000,20730000,-0.126849774,-0.034857364,-0.001652053
chr21,20730000,20735000,-0.128226104,-0.038657837,0.00083802
chr21,20735000,20740000,-0.129538171,-0.037094548,-0.003766927
chr21,20740000,20745000,-0.132284266,-0.033955745,-0.004727099
chr21,20745000,20750000,-0.132810661,-0.029278259,-0.007079248
chr21,20750000,20755000,-0.127818423,-0.028387884,-0.007162754
chr21,20755000,20760000,-0.121544519,-0.032161233,-0.009734208
chr21,20760000,20765000,-0.120497853,-0.038811587,-0.011198273
chr21,20765000,20770000,-0.12297262,-0.040301583,-0.00980173
chr21,20770000,20775000,-0.126377298,-0.036193298,-0.008898227
chr21,20775000,20780000,-0.126182883,-0.028393506,-0.008735336
chr21,20780000,20785000,-0.124628601,-0.028082134,-0.005693865
chr21,20785000,20790000,-0.127493161,-0.024753796,-0.009903612
chr21,20790000,20795000,-0.125012024,-0.024843863,-0.016409119
chr21,20795000,20800000,-0.125426011,-0.021111665,-0.020967178
chr21,20800000,20805000,-0.121162696,-0.020303542,-0.019879433
chr21,20805000,20810000,-0.121905013,-0.02170366,-0.012139451
chr21,20810000,20815000,-0.125538515,-0.024842308,-0.01089091
chr21,20815000,20820000,-0.127093732,-0.032053981,-0.005762039
chr21,20820000,20825000,-0.122437212,-0.035767944,-0.006367035
chr21,20825000,20830000,-0.11513359,-0.041373404,-0.00324015
chr21,20830000,20835000,-0.112020966,-0.038513451,-0.004252629
chr21,20835000,20840000,-0.112174661,-0.033979133,-0.005179384
chr21,20840000,20845000,-0.113447469,-0.025980549,-0.008678317
chr21,20845000,20850000,-0.110762811,-0.027003785,-0.011094245
chr21,20850000,20855000,-0.108810793,-0.025671841,-0.014314318
