chr,start,end,x,y,z
chr21,9410001,9415000,0.07762043,0.008197059,0.088434791
chr21,9415001,9420000,0.074796683,-0.000904663,0.099965856
chr21,9420001,9425000,0.012247914,-0.032438671,0.058165541
chr21,9570001,9575000,0.020501179,0.010998026,-0.00295778
chr21,9575001,9580000,-0.016540479,0.037260788,-0.063304276
chr21,9580001,9585000,-0.049988054,-0.002354059,-0.038126079
chr21,9585001,9590000,-0.025371995,-0.017305945,0.00194572
chr21,9590001,9595000,-0.020218449,-0.040245105,0.029494618
chr21,9645001,9650000,-0.046831651,-0.127469404,0.023733062
chr21,9650001,9655000,-0.107943727,-0.149202142,0.009146755
chr21,9655001,9660000,-0.206510394,-0.13534222,-0.020571664
chr21,9660001,9665000,-0.19428961,-0.120757247,-0.079609537
chr21,9665001,9670000,-0.130939948,-0.062645259,-0.01672146
chr21,9670001,9675000,-0.102419055,-0.048113788,0.02011067
chr21,9675001,9680000,-0.045310837,-0.034170969,-0.012994937
chr21,9720001,9725000,-0.029886038,-0.020907077,-0.001897663
chr21,9730001,9735000,-0.058729381,-0.002615268,-0.027560864
chr21,9825001,9830000,-0.055310295,0.100130853,-0.096221556
chr21,9830001,9835000,0.014582551,0.219122474,-0.079932902
chr21,9835001,9840000,0.02829857,0.174018729,-0.006879509
chr21,9840001,9845000,0.076510258,0.127621857,0.04729772
chr21,9845001,9850000,0.198864724,0.148971749,0.023849282
chr21,9850001,9855000,0.186378549,0.085902158,-0.028195716
chr21,9855001,9860000,0.031792261,0.005518467,-0.004013661
chr21,9860001,9865000,-0.001792563,-0.049940097,0.001412778
chr21,9865001,9870000,0.030027203,-0.057182815,-0.004830349
chr21,9875001,9880000,-0.016907819,-0.07186085,0.047357846
chr21,9920001,9925000,-0.060265232,-0.103570055,0.082738993
chr21,9925001,9930000,-0.08434317,-0.122788575,0.037979232
chr21,9930001,9935000,-0.074671655,-0.110949781,0.010851056
chr21,9945001,9950000,-0.043042634,-0.047255924,0.004682225
chr21,9955001,9960000,-0.026988863,-0.023367062,-0.001862526
chr21,9960001,9965000,-0.024972711,-0.021203962,0.000110841
chr21,9975001,9980000,0.003808672,0.053064602,-0.040066854
chr21,10080001,10085000,0.041678958,0.202394949,-0.135341395
chr21,10085001,10090000,0.041835143,0.200023735,-0.155209659
chr21,10400001,10405000,0.055251777,0.121903432,-0.119866948
chr21,10405001,10410000,0.048659654,0.130970435,-0.062169323
chr21,10410001,10415000,0.02374723,0.124050708,-0.037307436
chr21,10415001,10420000,0.083082926,0.181467604,-0.099671331
chr21,10420001,10425000,0.063137895,0.249153835,-0.134965386
chr21,10425001,10430000,-0.013275445,0.257666838,-0.09781703
chr21,10430001,10435000,-0.011712692,0.22399717,-0.092776395
chr21,10435001,10440000,0.027836514,0.18144516,-0.179612153
chr21,10440001,10445000,0.055445898,0.163269664,-0.180916278
chr21,10445001,10450000,0.057253847,0.180837603,-0.111015515
chr21,10450001,10455000,0.060638064,0.149237542,-0.130254541
chr21,10455001,10460000,0.053617764,0.090953654,-0.119152134
chr21,10460001,10465000,0.050272039,0.112217174,-0.100574603
chr21,10465001,10470000,0.04505638,0.126061466,-0.112795124
chr21,10470001,10475000,0.059495101,0.110991013,-0.098388346
chr21,10475001,10480000,0.080107052,0.108497898,-0.183148581
chr21,10480001,10485000,0.068241752,0.118368423,-0.212935821
chr21,10485001,10490000,0.048974302,0.130221454,-0.196189129
chr21,10490001,10495000,0.074511578,0.142721555,-0.242954896
chr21,10495001,10500000,0.131326199,0.122341276,-0.201748527
chr21,10500001,10505000,0.11411221,0.119880864,-0.114993073
chr21,10505001,10510000,0.036264609,0.150165283,-0.074736869
chr21,10510001,10515000,0.025255232,0.146049106,-0.129543309
chr21,10515001,10520000,0.111468853,0.095081392,-0.182158549
chr21,10520001,10525000,0.13209152,0.088423358,-0.135021722
chr21,10525001,10530000,0.080841658,0.098494648,-0.109512281
chr21,10530001,10535000,0.090290698,0.073986794,-0.170395103
chr21,10535001,10540000,0.085798577,0.101315413,-0.218644882
chr21,10540001,10545000,0.049095143,0.121262621,-0.178177268
chr21,10545001,10550000,0.03540911,0.126679933,-0.088733452
chr21,10550001,10555000,0.082602781,0.107762526,-0.031816513
chr21,10555001,10560000,0.069969833,0.05823898,-0.03441601
chr21,10560001,10565000,-0.002385161,0.109835845,-0.084443789
chr21,10565001,10570000,-0.031317925,0.21455169,-0.090767296
chr21,10570001,10575000,0.001260229,0.270578046,-0.021626389
chr21,10575001,10580000,0.030052151,0.270663154,0.011769807
chr21,10580001,10585000,0.054002513,0.301854808,-0.013840064
chr21,10585001,10590000,0.073923456,0.297036921,-0.072605333
chr21,10590001,10595000,-0.012094315,0.279916833,-0.100503124
chr21,10595001,10600000,-0.052394045,0.261095708,-0.087609054
chr21,10600001,10605000,0.008376139,0.211965001,-0.117376041
chr21,10605001,10610000,0.097375062,0.244636278,-0.177720773
chr21,10610001,10615000,0.113308559,0.254285536,-0.215453917
chr21,10615001,10620000,0.127275526,0.271815326,-0.213275585
chr21,10620001,10625000,0.126385277,0.314179564,-0.204878897
chr21,10625001,10630000,0.069764639,0.270760277,-0.167095578
chr21,10630001,10635000,0.08741805,0.205377129,-0.068085914
chr21,10635001,10640000,0.087826117,0.246041539,-0.025098536
chr21,10640001,10645000,0.070116972,0.25971758,-0.036153203
chr21,10645001,10650000,0.086817726,0.147308155,0.048975199
chr21,10700001,10705000,0.095986486,0.076571224,0.090176603
chr21,10705001,10710000,0.155058798,0.024534571,0.054462974
chr21,10710001,10715000,0.194651502,-0.032649073,0.114922109
chr21,10715001,10720000,0.186576592,-0.046284188,0.180786845
chr21,10720001,10725000,0.173523223,0.006939,0.203126056
chr21,10725001,10730000,0.146753967,0.113969381,0.176017561
chr21,10730001,10735000,0.128506147,0.143173519,0.078994369
chr21,10735001,10740000,0.15072252,0.073173721,0.018249445
chr21,10740001,10745000,0.177548666,0.016093745,0.078422109
chr21,10745001,10750000,0.176805637,-0.007718441,0.132224847
chr21,10750001,10755000,0.167977628,0.031784323,0.15180852
chr21,10755001,10760000,0.159421055,0.055134866,0.174877467
chr21,10760001,10765000,0.13246917,0.090484159,0.145744592
chr21,10765001,10770000,0.101801973,0.203909968,0.051214785
chr21,10770001,10775000,0.166993796,0.208215809,-0.043310394
chr21,10775001,10780000,0.242865375,0.190291617,-0.064770194
chr21,10780001,10785000,0.228977873,0.231063162,-0.008034363
chr21,10785001,10790000,0.194453334,0.171750477,-0.032270943
chr21,10790001,10795000,0.137252212,0.091941093,-0.111595541
chr21,10795001,10800000,0.106368847,0.150899487,-0.07564761
chr21,10800001,10805000,0.103703695,0.183669763,-0.045825148
chr21,10805001,10810000,0.098403906,0.182377642,-0.123404244
chr21,10810001,10815000,0.106981464,0.232800522,-0.18818246
chr21,10815001,10820000,0.099145163,0.151310036,-0.206858431
chr21,10830001,10835000,0.102869034,0.078136223,-0.240439482
chr21,10840001,10845000,0.095925489,0.056838036,-0.263663665
chr21,10845001,10850000,0.04690546,-0.035429615,-0.240990847
chr21,10850001,10855000,0.034982434,-0.099574069,-0.206334259
chr21,10855001,10860000,0.024874376,-0.134729508,-0.153923434
chr21,10860001,10865000,-0.00166129,-0.134289778,-0.088346234
chr21,10865001,10870000,0.005169064,-0.126574318,-0.113476723
chr21,10870001,10875000,0.010803073,-0.071620028,-0.182527379
chr21,10875001,10880000,0.011759416,-0.04693022,-0.185230654
chr21,10880001,10885000,0.020268844,-0.021791493,-0.147252113
chr21,10885001,10890000,0.036578352,0.059537004,-0.186212889
chr21,10890001,10895000,0.025776709,0.051467359,-0.231038024
chr21,10895001,10900000,-0.017241333,0.041009034,-0.230382779
chr21,10900001,10905000,-0.086099328,0.028749964,-0.16280507
chr21,10905001,10910000,-0.137661456,-0.035286901,-0.080143817
chr21,10910001,10915000,-0.154730895,-0.031104166,-0.114942786
chr21,10915001,10920000,-0.172713141,0.050811061,-0.144580751
chr21,10920001,10925000,-0.195889708,0.043473409,-0.133918995
